AELNORTU		OUTLEARN	st	to surpass in learning [v -LEARNED or -LEARNT, -LEARNING, -LEARNS]
DEELORRS		RESOLDER	s	SOLDER, to join closely together [v -ED, -ING, -S]
DEELORRS		SOLDERER	s	one that solders (to join closely together) [n -S]
AGILNNOS		LOANINGS		LOANING, a lane (a narrow passageway) [n]
AGINNOSU		ANGINOUS		ANGINA, a disease marked by spasmodic attacks of intense pain [adj]
ADEENNTT		TENANTED		TENANT, to inhabit (to live in) [v]
EEILRRTT		LITTERER	s	one that litters (to scatter rubbish about) [n -S]
DEEGNSTU		NUTSEDGE	s	nutgrass (a perennial herb) [n -S]
DEEGRSTU		GESTURED		GESTURE, to express by bodily motion [v]
GINORTTU		TROUTING		TROUTING n pl. -S the activity of fishing for trout
GINORTTU		TUTORING		TUTOR, to instruct privately [v]
AILNNSTU		INSULANT	s	an insulating material [n -S]
AILNNSTU		UNINSTAL	l	UNINSTAL v -STALLED, -STALLING, -STALS to remove a file or an application from a computer
AILNSTTU		LUTANIST	s	one who plays the lute [n -S]
AILRRSTU		RURALIST	s	one who lives in the country [n -S]
AILRSTTU		ALTRUIST	s	one that practices altruism (selfless devotion to the welfare of others) [n -S]
AILRSTTU		TITULARS		TITULAR, one who holds a title [n]
AILRSTTU		ULTRAIST	s	an advocate of extreme measures [n -S]
DEENOSST		STENOSED		affected with stenosis [adj]
EELNOSST		NOTELESS		undistinguished (distinguish) [adj]
EELNOSST		TONELESS		lacking in tone [adj]
EENORSSU		NEUROSES		NEUROSIS, a type of emotional disturbance [n]
AGIORSST		ORGIASTS		ORGIAST, one who participates in an orgy [n]
EEEGINNR		ENGINEER	s	to carry through or manage by contrivance [v -ED, -ING, -S]
EEEGINRR		GREENIER		GREENY, somewhat green [adj]
AADIILNS		SIALIDAN	s	sialid (an alderfly (a winged insect)) [n -S]
DEEELNRS		NEEDLERS		NEEDLER, one that needles (to sew with a slender, pointed instrument) [n]
DEEELNRU		UNREELED		UNREEL, to unwind from a reel [v]
DEEELNTU		UNDELETE	d	UNDELETE v -LETED, -LETING, -LETES to cancel the deletion of
DEEELRST		STREELED		STREEL, to saunter (to walk in a leisurely manner) [v]
AADEGNRR		ARRANGED		ARRANGE, to put in definite or proper order [v]
AAEGNNST		TANNAGES		TANNAGE, the process of tanning [n]
AAEGNRRS		ARRANGES		ARRANGE, to put in definite or proper order [v]
AAEGNSTT		STAGNATE	ds	to become stagnant (not moving or flowing) [v -NATED, -NATING, -NATES]
DEGIINNR		NIDERING	s	a coward (one who lacks courage) [n -S]
DEGIINNT		ENDITING		ENDITE, to indite (to write or compose) [v]
DEGIINNT		INDIGENT	s	a needy person [n -S]
EGIILNNR		RELINING		RELINE, LINE, to mark with lines (slender, continuous marks) [v]
EGIILNNT		LENITING		LENITE, to articulate a lenis [v]
EGIINNTU		UNTIEING		UNTIE, to free from something that ties [v]
ADGILOOS		SOLIDAGO	s	a flowering plant [n -GOS]
DIILORSU		SILUROID	s	a silurid (any of a family of catfishes) [n -S]
ADGNOORS		DRAGOONS		DRAGOON, to harass by the use of troops [v]
ADGNOORS		GADROONS		GADROON, to decorate with bands of fluted or reeded molding [v]
DGILNOOR		DROOLING		DROOL, to drivel (to let saliva flow from the mouth) [v]
DGILNOOT		TOODLING		TOODLE v -DLED, -DLING, -DLES to tootle
DGINOOTU		OUTDOING		OUTDO, to exceed in performance [v]
GILNOOST		LOOTINGS		LOOTING n pl. -S the act of stealing goods left unprotected
GILNOOST		STOOLING		STOOL, to defecate (to discharge feces) [v]
GILNOOST		TOOLINGS		TOOLING, ornamentation done with tools [n]
GIOORSTU		GOITROUS		GOITER, an enlargement of the thyroid gland [adj]
AINNOOTT		NOTATION	s	a system of symbols [n -S]
AAGNORRT		ARROGANT		overly convinced of one's own worth or importance [adj]
AAGNORRT		TARRAGON	s	a perennial herb [n -S]
GIINNORT		IGNITRON	s	a type of rectifier tube [n -S]
AADILNTT		DILATANT	s	a dilator (one that dilates (to make wider or larger)) [n -S]
AAILNNRU		LUNARIAN	s	a supposed inhabitant of the moon [n -S]
AAILNNST		ANNALIST	s	a historian [n -S]
AAILRSTT		RATTAILS		RATTAIL, a marine fish [n]
AAILRSTT		STRIATAL		STRIATUM n pl. -TA a mass of nervous tissue within the brain STRIATAL adj
ADIIRSTT		DISTRAIT	e	absentminded [adj]
AIILRSTT		TRIALIST		TRIALIST n pl. -S a person who participates in a test of something
DEGNORRU		GROUNDER	s	a type of batted baseball [n -S]
DEGNORRU		REGROUND		REGRIND, GRIND, to wear, smooth, or sharpen by friction [v]
EGNNOSTU		NONGUEST	s	one who is not a guest [n -S]
EGORRSTU		GROUTERS		GROUTER, one that grouts (to fill with a thin mortar) [n]
ADELRRSU		RUDERALS		RUDERAL, a plant growing in poor land [n]
DEILRRSU		SLURRIED		SLURRY, to convert into a type of watery mixture [v]
ADEEGRRS		REGRADES		REGRADE, GRADE, to arrange in steps or degrees [v]
ADEEGRRU		REARGUED		REARGUE, ARGUE, to present reasons for or against [v]
ADEEGRRU		REDARGUE	ds	to disprove (to refute (to prove to be false or erroneous)) [v -GUED, -GUING, -GUES]
AEEGLSTT		GALETTES		GALETTE, a flat round cake [n]
AEEGLTTU		TUTELAGE	s	the act of tutoring (to instruct privately) [n -S]
AEEGRRSU		REARGUES		REARGUE, ARGUE, to present reasons for or against [v]
DEEGILNN		NEEDLING	s	the act of one who needles (to sew with a slender, pointed instrument) [n -S]
EEGINNSU		INGENUES		INGENUE, a naive young woman [n]
EEGINNSU		UNSEEING		SEE, to perceive with the eyes [adj]
DEEORRTT		RETORTED		RETORT, to answer back sharply [v]
AGINNOTT		NOTATING		NOTATE, to put into notation [v]
AEGOSSTU		OUTGASES		OUTGAS v -GASSED, -GASSING, -GASSES or -GASES to remove gas from
EGIORSSU		GRISEOUS		grayish (somewhat gray) [adj]
DELNRRTU		TRUNDLER	s	one that trundles (to propel by causing to rotate) [n -S]
ADLNNORS		NORLANDS		NORLAND, a region in the north [n]
ADLNNOTU		NONADULT	s	a person who is not an adult [n -S]
ADNOSTTU		OUTSTAND	s	to endure beyond [v -STOOD, -STANDING, -STANDS]
ADNOSTTU		STANDOUT	s	one that shows marked superiority [n -S]
ILNNORSU		LINURONS		LINURON, a herbicide [n]
EEIORRSS		ROSERIES		ROSERY, a place where roses are grown [n]
GILNRSTU		LUSTRING	s	a glossy silk fabric [n -S]
GILNRSTU		RUSTLING		RUSTLE, to make a succession of slight, soft sounds [v]
AAIINSTT		TITANIAS		TITANIA, a mineral [n]
DEEENRRT		RERENTED		RERENT, RENT, to obtain temporary use of in return for compensation [v]
DEEENRRT		TENDERER	s	one that tenders (to present for acceptance) [n -S]
DEEENRTT		TENTERED		TENTER, to stretch on a type of frame [v]
EEENRRTU		RETURNEE	s	one that has returned [n -S]
DEIILNNU		INDULINE	s	a blue dye [n -S]
AAEGORSS		AGAROSES		AGAROSE, a sugar obtained from agar [n]
DEEGIINN		INDIGENE	s	a native (an original inhabitant of an area) [n -S]
AAAILRST		SALARIAT	s	the class of salaried persons [n -S]
AIIILNST		INITIALS		INITIAL, to mark with the first letters of one's name [v]
AALNNOST		SONANTAL		SONANT, a sound uttered with vibration of the vocal cords [adj]
IILNNOST		NITINOLS		NITINOL, an alloy of nickel and titanium [n]
IINNOSTU		UNIONIST	s	an advocate of unionism (the principle of forming a union) [n -S]
IINOSTTU		TUITIONS		TUITION, a fee for instruction [n]
ADGIILNS		DIALINGS		DIALING, the measurement of time by sundials [n]
ADGIILNS		GLIADINS		GLIADIN, a simple protein [n]
ADGIILST		DIGITALS		DIGITAL, a piano key [n]
ADGIINSU		IGUANIDS		IGUANID, a long-tailed lizard [n]
AGIILNSU		LINGUISA	s	linguica (a spicy Portuguese sausage) [n -S]
AIINRRTT		IRRITANT	s	something that irritates [n -S]
AADGNRTU		GUARDANT	s	a guardian (one that guards (to protect)) [n -S]
DGIINRST		STRIDING		STRIDE, to walk with long steps [v]
AIILNOSS		LIAISONS		LIAISON, a means for maintaining communication [n]
DEEGNNOS		ENDOGENS		ENDOGEN, a type of plant [n]
ADENNRRU		UNDERRAN		UNDERRUN, to pass or extend under [v]
EIRRSTTU		TRUSTIER		TRUSTY, worthy of trust [adj]
AEEGRRTT		RETARGET	s	TARGET, to make a goal of [v -ED, -ING, -S]
AEISSTTU		SITUATES		SITUATE, to place in a certain position [v]
DEELNNTU		TUNNELED		TUNNEL, to dig a tunnel (an underground passageway) [v]
DEELNTTU		UNLETTED		LET, to allow (to put no obstacle in the way of) [adj]
DEENRRSU		ENDURERS		ENDURER, one that endures (to last (to continue in existence)) [n]
DEENRRSU		SUNDERER	s	one that sunders (to break apart) [n -S]
DEENSTTU		UNTESTED		TEST, to subject to an examination [adj]
DEERSTTU		TRUSTEED		TRUSTEE, to commit to the care of an administrator [v]
EELNSTTU		LUNETTES		LUNETTE, a crescent-shaped object [n]
EELNSTTU		UNSETTLE	ds	to make unstable (resistant to sudden change or position or condition) [v -TLED, -TLING, -TLES]
DENOSSTU		SOUNDEST		SOUND, being in good health or condition [adj]
